CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;PMIMP15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PAUT15
01173;Gex;4867,0;11363,5;7642,6;61;17912,0;32964,0;51804,0;33892,0;8122,0;15034,0;21016,0;26674,0;39492,0;47236,0;56998,0;73100,0;9,0;11,1;0,4;86,3;81,4;3,1;1,8;11,0;2,7
01174;Giron;74,0;168,0;114,8;;;22156,0;;;;;;;;;;;;;;;;;;;
01175;Gorrevod;338,0;856,5;564,1;;;19030,0;;;;;;;;;;;;;;;;;;;
01177;Grand-Corent;78,0;179,5;122,4;;;19678,0;;;;;;;;;;;;;;;;;;;
01179;Grièges;808,0;1957,5;1316,2;;;21610,0;;;;;;;;;;;;;;;;;;;
01180;Grilly;283,0;699,5;466,4;;;45036,0;;;;;;;;;;;;;;;;;;;
01181;Groissiat;438,0;1243,5;792,5;;;23104,0;;;;;;;;;;;;;;;;;;;
01183;Guéreins;534,0;1425,0;921,1;;;23260,0;;;;;;;;;;;;;;;;;;;
01184;Hautecourt-Romanèche;345,0;805,5;547,7;;;20468,0;;;;;;;;;;;;;;;;;;;
01185;Hauteville-Lompnes;1510,0;2948,0;2147,0;56;14762,0;20594,0;27806,0;13044,0;8686,0;13166,0;15954,0;18584,0;23082,0;25984,0;30404,0;37078,0;4,3;5,3;0,3;61,0;54,2;2,5;4,3;35,2;3,8
01187;Haut Valromey;299,0;666,5;463,1;;;20336,0;;;;;;;;;;;;;;;;;;;
01188;Illiat;229,0;650,5;410,8;;;21680,0;;;;;;;;;;;;;;;;;;;
01189;Injoux-Génissiat;432,0;1084,0;716,8;;;26154,0;;;;;;;;;;;;;;;;;;;
01191;Izenave;71,0;183,5;121,0;;;17678,0;;;;;;;;;;;;;;;;;;;
01192;Izernore;907,0;2274,5;1504,2;62;15526,0;21526,0;27940,0;12414,0;9994,0;13890,0;17028,0;19412,0;23858,0;26306,0;29902,0;35474,0;3,5;4,3;0,3;75,6;69,6;3,3;2,8;19,9;4,5
01193;Izieu;97,0;217,5;150,9;;;21184,0;;;;;;;;;;;;;;;;;;;
01194;Jassans-Riottier;2538,0;6108,0;4112,9;57;15014,0;21352,0;28622,0;13608,0;9054,0;13496,0;16644,0;19056,0;23926,0;26768,0;30640,0;37188,0;4,1;5,0;0,3;68,8;62,3;3,3;3,2;27,6;3,6
01195;Jasseron;643,0;1657,5;1083,4;;;23852,0;;;;;;;;;;;;;;;;;;;
01196;Jayat;436,0;1153,5;742,2;;;20656,0;;;;;;;;;;;;;;;;;;;
01197;Journans;152,0;363,5;245,8;;;25130,0;;;;;;;;;;;;;;;;;;;
01198;Joyeux;98,0;256,0;167,2;;;22922,0;;;;;;;;;;;;;;;;;;;
01199;Jujurieux;875,0;2028,0;1376,6;53;14158,0;20338,0;27002,0;12844,0;9058,0;12920,0;15690,0;18024,0;22988,0;25512,0;29034,0;35398,0;3,9;4,7;0,3;70,2;63,8;3,1;3,3;26,5;3,3
01200;Labalme;76,0;198,5;128,4;;;18722,0;;;;;;;;;;;;;;;;;;;
01202;Lagnieu;3071,0;7097,5;4832,3;57;14860,0;20974,0;28436,0;13576,0;9382,0;13382,0;16158,0;18404,0;23620,0;26502,0;30818,0;37664,0;4,0;5,0;0,3;68,3;61,2;3,3;3,8;27,6;4,1
01203;Laiz;473,0;1252,5;818,9;;;21830,0;;;;;;;;;;;;;;;;;;;
01204;Le Poizat-Lalleyriat;275,0;686,5;453,9;;;23218,0;;;;;;;;;;;;;;;;;;;
01205;Lancrans;414,0;1003,0;670,7;;;23978,0;;;;;;;;;;;;;;;;;;;
01206;Lantenay;107,0;265,0;177,0;;;23150,0;;;;;;;;;;;;;;;;;;;
01207;Lapeyrouse;114,0;337,0;211,5;;;24900,0;;;;;;;;;;;;;;;;;;;
01208;Lavours;64,0;132,0;94,2;;;20414,0;;;;;;;;;;;;;;;;;;;
01209;Léaz;255,0;673,5;431,6;;;28412,0;;;;;;;;;;;;;;;;;;;
01210;Lélex;90,0;184,0;132,4;;;22873,0;;;;;;;;;;;;;;;;;;;
01211;Lent;582,0;1383,5;930,4;;;21992,0;;;;;;;;;;;;;;;;;;;
01212;Lescheroux;289,0;720,5;476,4;;;18218,0;;;;;;;;;;;;;;;;;;;
01213;Leyment;483,0;1330,5;849,3;;;21452,0;;;;;;;;;;;;;;;;;;;
01214;Leyssard;68,0;149,5;104,9;;;20880,0;;;;;;;;;;;;;;;;;;;
01216;Lhuis;353,0;809,0;553,0;;;20436,0;;;;;;;;;;;;;;;;;;;
01219;Lompnas;70,0;159,5;109,4;;;15212,0;;;;;;;;;;;;;;;;;;;
01221;Lompnieu;58,0;116,0;83,4;;;22019,0;;;;;;;;;;;;;;;;;;;
01224;Loyettes;1200,0;3211,0;2052,8;56;14880,0;20436,0;26706,0;11826,0;10280,0;13466,0;16208,0;18474,0;22586,0;25070,0;28200,0;33120,0;3,2;4,2;0,3;76,1;70,6;3,1;2,4;20,9;3,0
01225;Lurcy;151,0;402,5;266,2;;;25310,0;;;;;;;;;;;;;;;;;;;
01227;Magnieu;193,0;482,0;319,5;;;21446,0;;;;;;;;;;;;;;;;;;;
01228;Maillat;253,0;634,5;425,9;;;23124,0;;;;;;;;;;;;;;;;;;;
01229;Malafretaz;477,0;1174,5;778,9;;;20174,0;;;;;;;;;;;;;;;;;;;
01230;Mantenay-Montlin;129,0;304,5;206,2;;;17918,0;;;;;;;;;;;;;;;;;;;
01231;Manziat;809,0;2058,5;1362,1;61;15938,0;22028,0;28038,0;12100,0;12014,0;15158,0;17612,0;19742,0;24304,0;27132,0;30008,0;35780,0;3,0;3,9;0,3;66,8;59,7;1,7;5,4;25,5;7,7
01232;Marboz;927,0;2179,0;1479,8;57;15690,0;20670,0;27446,0;11756,0;11410,0;14568,0;16430,0;18530,0;23048,0;26030,0;29558,0;36304,0;3,2;4,1;0,3;64,1;57,7;2,1;4,3;30,9;5,0
01233;Marchamp;63,0;143,0;96,0;;;20318,0;;;;;;;;;;;;;;;;;;;
01234;Marignieu;70,0;161,0;112,5;;;22576,0;;;;;;;;;;;;;;;;;;;
01235;Marlieux;410,0;1047,5;678,8;;;20528,0;;;;;;;;;;;;;;;;;;;
01236;Marsonnas;397,0;1014,0;663,0;;;20152,0;;;;;;;;;;;;;;;;;;;
01237;Martignat;617,0;1694,0;1095,5;;;19747,0;;;;;;;;;;;;;;;;;;;
01238;Massieux;940,0;2600,5;1674,0;73;19834,0;25570,0;33596,0;13762,0;14676,0;18418,0;21054,0;23326,0;28612,0;31884,0;36356,0;43414,0;3,0;3,5;0,2;73,2;66,5;2,9;3,9;22,7;4,1
01239;Massignieu-de-Rives;257,0;642,0;426,2;;;22382,0;;;;;;;;;;;;;;;;;;;
01240;Matafelon-Granges;272,0;663,0;443,2;;;21350,0;;;;;;;;;;;;;;;;;;;
01241;Meillonnas;515,0;1235,5;831,3;;;24248,0;;;;;;;;;;;;;;;;;;;
01242;Mérignat;50,0;123,0;81,5;;;17550,0;;;;;;;;;;;;;;;;;;;
01243;Messimy-sur-Saône;473,0;1271,0;826,6;;;24496,0;;;;;;;;;;;;;;;;;;;
01244;Meximieux;3150,0;7605,5;5081,4;59;14948,0;21868,0;30162,0;15214,0;8564,0;13080,0;16566,0;19328,0;24616,0;27922,0;32586,0;40294,0;4,7;5,5;0,3;75,5;70,0;3,0;2,4;21,4;3,1
01245;Bohas-Meyriat-Rignat;375,0;907,0;606,5;;;22116,0;;;;;;;;;;;;;;;;;;;
01246;Mézériat;867,0;2116,5;1412,8;55;14748,0;20668,0;27018,0;12270,0;8526,0;12804,0;16022,0;18190,0;23022,0;25982,0;28810,0;34462,0;4,0;5,1;0,3;65,3;58,3;2,8;4,3;29,8;4,9
01247;Mijoux;142,0;324,0;222,5;;;28440,0;;;;;;;;;;;;;;;;;;;
