CODGEO;LIBGEO;C15_ACTOCC15P_ILT1;C15_ACTOCC15P_ILTAUT;C15_ACTOCC15P
09233;Pradettes;5;20;25
09234;Pradières;10;35;45
09235;Prat-Bonrepaux;112;223;336
09236;Prayols;8;156;164
09237;Le Puch;0;5;5
09238;Les Pujols;67;294;361
09239;Quérigut;30;15;45
09240;Quié;10;85;95
09241;Rabat-les-Trois-Seigneurs;50;94;144
09242;Raissac;4;11;15
09243;Régat;5;31;36
09244;Rieucros;40;230;270
09245;Rieux-de-Pelleport;50;515;565
09246;Rimont;70;179;248
09247;Rivèrenert;5;54;60
09249;Roquefixade;15;45;60
09250;Roquefort-les-Cascades;0;51;51
09251;Roumengoux;4;54;58
09252;Rouze;15;5;20
09253;Sabarat;16;81;96
09254;Saint-Amadou;5;120;125
09255;Saint-Amans;10;0;10
09256;Saint-Bauzeil;5;10;15
09257;Sainte-Croix-Volvestre;86;136;222
09258;Saint-Félix-de-Rieutord;30;164;193
09259;Saint-Félix-de-Tournegat;10;55;65
09260;Sainte-Foi;0;8;8
09261;Saint-Girons;1120;944;2064
09262;Saint-Jean-d'Aigues-Vives;30;102;132
09263;Saint-Jean-du-Castillonnais;0;4;4
09264;Saint-Jean-de-Verges;125;405;530
09265;Saint-Jean-du-Falga;265;765;1030
09266;Saint-Julien-de-Gras-Capou;25;15;40
09267;Saint-Lary;25;5;30
09268;Saint-Lizier;220;160;379
09269;Saint-Martin-de-Caralp;24;119;143
09270;Saint-Martin-d'Oydes;21;68;89
09271;Saint-Michel;20;15;35
09272;Saint-Paul-de-Jarrat;172;350;522
09273;Saint-Pierre-de-Rivière;70;228;298
09274;Saint-Quentin-la-Tour;30;74;103
09275;Saint-Quirc;20;138;158
09276;Saint-Victor-Rouzaud;45;77;122
09277;Saint-Ybars;64;179;242
09279;Salsein;0;5;5
09280;Saurat;112;132;244
09281;Sautel;5;10;15
09282;Saverdun;660;1120;1780
09283;Savignac-les-Ormeaux;65;90;155
09284;Ségura;5;85;90
09285;Seix;157;117;274
09286;Sem;0;5;5
09287;Senconac;0;5;5
09289;Lorp-Sentaraille;180;434;614
09290;Sentein;46;5;51
09291;Sentenac-d'Oust;0;40;40
09292;Sentenac-de-Sérou;0;12;12
09293;Serres-sur-Arget;49;198;247
09294;Sieuras;23;9;32
09295;Siguer;20;25;45
09296;Sinsat;5;31;36
09297;Sor;4;11;15
09298;Sorgeat;10;31;41
09299;Soueix-Rogalle;15;125;140
09300;Soula;43;64;107
09301;Soulan;34;68;102
09302;Suc-et-Sentenac;5;9;14
09303;Surba;21;132;153
09304;Suzan;6;6;12
09305;Tabre;20;138;158
09306;Tarascon-sur-Ariège;440;514;954
09307;Taurignan-Castet;5;80;85
09308;Taurignan-Vieux;4;100;103
09309;Teilhet;10;39;49
09310;Thouars-sur-Arize;0;30;30
09311;Tignac;0;5;5
09312;La Tour-du-Crieu;187;990;1177
09313;Tourtouse;10;74;84
09314;Tourtrol;25;90;115
09315;Trémoulet;0;39;39
09316;Troye-d'Ariège;0;55;55
09318;Unac;10;39;49
09319;Unzent;16;21;36
09320;Urs;4;12;16
09321;Ussat;16;79;94
09322;Ustou;66;51;117
09323;Vals;9;50;59
09324;Varilhes;288;1036;1324
09325;Vaychis;5;0;5
09326;Vèbre;5;55;60
09327;Ventenac;29;98;128
09328;Verdun;5;45;50
09329;Vernajoul;58;218;276
09330;Vernaux;0;11;11
09331;Le Vernet;85;175;261
09332;Verniolle;172;753;925
09334;Vicdessos;65;100;165
09335;Villeneuve;0;15;15
09336;Villeneuve-d'Olmes;67;236;303
09338;Villeneuve-du-Latou;30;30;60
09339;Villeneuve-du-Paréage;20;320;340
09340;Vira;10;44;54
09341;Viviès;5;39;44
09342;Sainte-Suzanne;48;56;104
10002;Ailleville;5;129;133
10003;Aix-Villemaur-Pâlis;439;686;1124
10004;Allibaudières;15;88;103
10005;Amance;36;67;103
10006;Arcis-sur-Aube;385;480;865
10007;Arconville;10;31;42
10008;Argançon;12;41;53
10009;Arrelles;8;31;39
10010;Arrembécourt;10;20;30
10011;Arrentières;26;68;94
10012;Arsonval;25;84;109
10013;Assenay;10;46;57
10014;Assencières;10;75;85
10015;Aubeterre;21;157;178
10017;Aulnay;21;26;46
10018;Auxon;71;279;350
10019;Val-d'Auzon;36;129;165
10020;Avant-lès-Marcilly;35;196;231
10021;Avant-lès-Ramerupt;12;60;72
10022;Avirey-Lingey;48;60;108
10023;Avon-la-Pèze;0;117;117
10024;Avreuil;5;60;64
10025;Bagneux-la-Fosse;60;15;75
10026;Bailly-le-Franc;4;8;13
10027;Balignicourt;27;5;32
10028;Balnot-la-Grange;35;40;76
10029;Balnot-sur-Laignes;65;40;104
10030;Barberey-Saint-Sulpice;65;475;540
10031;Barbuise;56;158;214
10032;Baroville;52;89;141
10033;Bar-sur-Aube;1163;550;1713
10034;Bar-sur-Seine;590;465;1055
10035;Bayel;90;180;270
10037;Bercenay-en-Othe;80;120;200
10038;Bercenay-le-Hayer;5;58;63
10039;Bergères;55;20;75
10040;Bernon;11;39;50
10041;Bertignolles;27;11;38
10042;Bérulle;30;69;99
10043;Bessy;10;40;50
10044;Bétignicourt;5;5;10
10045;Beurey;30;32;63
10046;Blaincourt-sur-Aube;10;19;29
10047;Blignicourt;15;14;28
10048;Bligny;45;35;80
10049;Les Bordes-Aumont;45;210;255
10050;Bossancourt;15;95;110
10051;Bouilly;84;389;473
10052;Boulages;5;57;63
10053;Bouranton;50;211;260
10054;Bourdenay;11;28;39
10055;Bourguignons;15;75;90
10056;Bouy-Luxembourg;24;56;80
10057;Bouy-sur-Orvin;15;20;34
10058;Bragelogne-Beauvoir;81;55;136
10059;Braux;24;36;59
10060;Bréviandes;204;845;1049
10061;Brévonnes;88;192;280
10062;Briel-sur-Barse;26;92;118
10063;Brienne-la-Vieille;5;127;132
10064;Brienne-le-Château;512;357;869
10065;Brillecourt;0;35;35
10066;Bucey-en-Othe;28;159;186
10067;Buchères;95;535;630
10068;Buxeuil;15;36;51
10069;Buxières-sur-Arce;38;23;61
10070;Celles-sur-Ource;190;80;270
10071;Chacenay;27;12;38
10072;La Chaise;4;20;23
10073;Chalette-sur-Voire;12;49;61
10074;Chamoy;60;175;235
10075;Champfleury;11;22;32
10076;Champignol-lez-Mondeville;94;72;166
10077;Champigny-sur-Aube;5;44;49
10078;Champ-sur-Barse;10;10;20
10079;Channes;52;14;67
10080;Chaource;220;195;415
10081;La Chapelle-Saint-Luc;1042;2369;3410
10082;Chapelle-Vallon;20;76;96
10083;Chappes;15;116;131
10084;Charmont-sous-Barbuise;107;398;505
10085;Charmoy;8;17;25
10086;Charny-le-Bachot;24;63;88
10087;Chaserey;10;10;20
10089;Châtres;30;277;307
10090;Chauchigny;4;89;94
10091;Chaudrey;10;50;60
10092;Chauffour-lès-Bailly;15;50;65
10093;Chaumesnil;10;38;48
10094;Chavanges;117;117;234
10095;Le Chêne;22;113;134
10096;Chennegy;20;159;179
10097;Chervey;57;36;93
10098;Chesley;40;75;114
10099;Chessy-les-Prés;60;185;245
10100;Clérey;90;421;511
10101;Coclois;10;31;41
10102;Colombé-la-Fosse;26;51;77
10103;Colombé-le-Sec;25;35;60
10104;Cormost;15;122;137
10105;Courcelles-sur-Voire;9;9;19
10106;Courceroy;0;45;45
10107;Coursan-en-Othe;15;15;31
10108;Courtaoult;0;17;17
10109;Courtenot;15;101;116
10110;Courteranges;25;256;281
10111;Courteron;20;31;51
10112;Coussegrey;15;56;71
10113;Couvignon;30;60;90
10114;Crancey;50;225;276
10115;Creney-près-Troyes;132;537;669
10116;Crésantignes;25;110;135
10117;Crespy-le-Neuf;15;44;59
10118;Les Croûtes;12;23;35
10119;Cunfin;23;58;81
10120;Cussangy;15;85;100
10121;Dampierre;54;64;118
10122;Davrey;4;79;83
10123;Dienville;102;239;341
10124;Dierrey-Saint-Julien;50;74;124
10125;Dierrey-Saint-Pierre;19;97;116
10126;Dolancourt;20;36;56
10127;Dommartin-le-Coq;16;12;28
